step_num,-gneE0,-gneE1,-gneE2,-gneE3
574,24,15,24,19
575,24,16,24,19
576,24,15,24,19
577,24,15,24,18
578,24,15,24,19
579,24,15,24,19
580,24,15,24,18
581,24,15,24,18
582,24,16,24,18
583,24,15,24,18
584,24,15,24,17
585,24,15,24,17
586,24,15,24,17
587,24,15,24,17
588,24,15,24,16
589,24,15,24,16
590,24,16,24,16
591,24,16,24,16
592,24,15,24,15
593,24,15,24,15
594,24,16,24,15
595,24,16,24,16
596,24,16,24,16
597,24,16,24,16
598,24,15,24,16
599,24,16,24,16
600,24,16,23,16
