step_num,-gneE0,-gneE1,-gneE2,-gneE3
266,424.0,536.0,775.0,545.0
267,436.0,556.0,787.0,561.0
268,448.0,576.0,799.0,580.0
269,460.0,596.0,811.0,601.0
270,389.0,617.0,734.0,623.0
271,333.0,639.0,657.0,643.0
272,280.0,659.0,587.0,664.0
273,230.0,679.0,519.0,687.0
274,184.0,701.0,528.0,710.0
275,192.0,723.0,538.0,731.0
276,200.0,746.0,469.0,755.0
277,162.0,770.0,402.0,779.0
278,127.0,794.0,334.0,799.0
279,102.0,818.0,267.0,822.0
280,108.0,842.0,201.0,845.0
281,86.0,866.0,207.0,869.0
282,65.0,890.0,213.0,893.0
283,45.0,914.0,151.0,917.0
284,47.0,938.0,84.0,941.0
285,28.0,962.0,90.0,965.0
286,32.0,986.0,30.0,989.0
287,35.0,1010.0,35.0,1013.0
288,38.0,1034.0,36.0,1037.0
289,43.0,1058.0,42.0,1061.0
290,47.0,1082.0,49.0,1085.0
291,52.0,1106.0,54.0,1109.0
292,57.0,1130.0,63.0,1133.0
293,64.0,1154.0,67.0,1157.0
294,71.0,1178.0,72.0,1181.0
295,75.0,1202.0,80.0,1205.0
296,82.0,1226.0,86.0,1229.0
297,89.0,1250.0,94.0,1253.0
298,99.0,1274.0,102.0,1277.0
299,103.0,1298.0,112.0,1301.0
300,109.0,1235.0,121.0,1234.0
301,117.0,1175.0,132.0,1173.0
302,125.0,1113.0,144.0,1195.0
303,134.0,1134.0,151.0,1133.0
304,146.0,1155.0,163.0,1071.0
305,156.0,1094.0,174.0,1009.0
306,168.0,1034.0,186.0,948.0
307,179.0,1053.0,199.0,887.0
308,191.0,993.0,214.0,826.0
309,204.0,934.0,229.0,842.0
310,218.0,875.0,244.0,782.0
311,232.0,891.0,259.0,797.0
312,246.0,908.0,274.0,740.0
313,261.0,923.0,289.0,754.0
314,276.0,860.0,305.0,696.0
315,292.0,800.0,321.0,638.0
316,310.0,741.0,338.0,651.0
317,326.0,753.0,355.0,662.0
318,343.0,692.0,373.0,675.0
319,361.0,704.0,390.0,686.0
320,375.0,717.0,408.0,698.0
321,392.0,728.0,427.0,710.0
322,409.0,740.0,446.0,722.0
323,427.0,752.0,462.0,734.0
324,447.0,764.0,482.0,746.0
325,467.0,776.0,500.0,758.0
326,480.0,788.0,519.0,770.0
327,500.0,800.0,539.0,782.0
328,520.0,812.0,559.0,794.0
329,538.0,824.0,579.0,806.0
330,559.0,748.0,601.0,728.0
331,580.0,672.0,622.0,655.0
332,601.0,598.0,644.0,584.0
333,617.0,530.0,666.0,515.0
334,640.0,460.0,689.0,448.0
335,661.0,467.0,712.0,457.0
336,683.0,396.0,736.0,389.0
337,705.0,325.0,760.0,327.0
338,727.0,331.0,781.0,263.0
339,750.0,336.0,805.0,198.0
340,773.0,342.0,829.0,137.0
341,796.0,273.0,853.0,142.0
342,820.0,206.0,877.0,79.0
343,842.0,211.0,901.0,22.0
344,866.0,146.0,925.0,26.0
345,890.0,82.0,949.0,29.0
346,914.0,88.0,973.0,35.0
347,938.0,25.0,997.0,42.0
