step_num,-gneE0,-gneE1,-gneE2,-gneE3
313,134.0,7.0,92.0,2.0
314,125.0,9.0,85.0,3.0
315,116.0,12.0,94.0,4.0
316,127.0,17.0,89.0,6.0
317,104.0,18.0,88.0,5.0
318,102.0,23.0,90.0,9.0
319,100.0,26.0,103.0,11.0
320,107.0,31.0,100.0,14.0
321,110.0,23.0,102.0,10.0
322,114.0,16.0,103.0,13.0
323,92.0,11.0,87.0,11.0
324,77.0,8.0,74.0,10.0
325,59.0,3.0,62.0,6.0
326,63.0,1.0,69.0,8.0
327,51.0,4.0,54.0,10.0
328,59.0,5.0,46.0,12.0
329,67.0,6.0,35.0,15.0
330,52.0,6.0,41.0,18.0
331,37.0,9.0,38.0,23.0
332,29.0,13.0,43.0,26.0
333,25.0,18.0,48.0,29.0
334,28.0,22.0,45.0,35.0
335,33.0,25.0,43.0,35.0
336,39.0,27.0,52.0,38.0
337,48.0,18.0,51.0,24.0
338,52.0,13.0,53.0,25.0
339,60.0,18.0,56.0,33.0
340,70.0,13.0,60.0,25.0
341,81.0,7.0,68.0,17.0
342,90.0,4.0,75.0,6.0
343,80.0,1.0,61.0,3.0
344,72.0,3.0,50.0,9.0
345,58.0,2.0,46.0,7.0
346,52.0,4.0,53.0,9.0
347,48.0,4.0,47.0,4.0
348,54.0,6.0,57.0,3.0
349,36.0,9.0,44.0,3.0
350,38.0,11.0,32.0,3.0
351,46.0,13.0,26.0,2.0
352,37.0,15.0,32.0,0.0
353,29.0,18.0,23.0,3.0
354,30.0,12.0,19.0,3.0
355,24.0,6.0,22.0,6.0
356,20.0,5.0,23.0,2.0
357,21.0,4.0,16.0,1.0
358,15.0,1.0,10.0,5.0
359,9.0,3.0,13.0,1.0
360,13.0,1.0,9.0,3.0
361,9.0,1.0,12.0,3.0
362,11.0,4.0,14.0,0.0
363,17.0,5.0,18.0,0.0
364,18.0,4.0,22.0,1.0
365,23.0,5.0,24.0,0.0
366,31.0,7.0,31.0,1.0
367,39.0,11.0,38.0,1.0
368,44.0,13.0,42.0,3.0
369,36.0,17.0,36.0,7.0
370,35.0,21.0,28.0,7.0
371,29.0,29.0,26.0,12.0
372,24.0,30.0,18.0,15.0
373,22.0,35.0,6.0,20.0
374,15.0,39.0,7.0,24.0
375,10.0,47.0,7.0,31.0
376,14.0,55.0,6.0,39.0
377,11.0,64.0,6.0,47.0
378,14.0,73.0,3.0,49.0
379,16.0,65.0,6.0,43.0
380,10.0,62.0,2.0,38.0
381,8.0,49.0,2.0,22.0
382,11.0,39.0,5.0,12.0
383,11.0,37.0,4.0,14.0
384,5.0,36.0,2.0,7.0
385,6.0,34.0,6.0,4.0
386,6.0,34.0,6.0,6.0
387,4.0,40.0,7.0,11.0
388,4.0,33.0,6.0,10.0
389,3.0,32.0,8.0,12.0
390,3.0,16.0,10.0,7.0
391,5.0,12.0,15.0,6.0
392,2.0,13.0,8.0,3.0
393,0.0,14.0,5.0,5.0
394,3.0,17.0,9.0,8.0
395,6.0,14.0,1.0,12.0
396,4.0,18.0,1.0,9.0
397,8.0,10.0,1.0,4.0
398,5.0,9.0,4.0,5.0
399,6.0,13.0,4.0,11.0
400,7.0,16.0,6.0,7.0
401,1.0,19.0,3.0,7.0
402,0.0,24.0,3.0,7.0
403,1.0,31.0,4.0,10.0
404,3.0,39.0,1.0,15.0
405,2.0,40.0,2.0,20.0
406,2.0,39.0,0.0,11.0
407,1.0,39.0,1.0,8.0
408,2.0,26.0,3.0,6.0
409,4.0,20.0,5.0,9.0
410,8.0,20.0,8.0,12.0
411,13.0,12.0,9.0,4.0
412,13.0,18.0,15.0,4.0
413,12.0,9.0,14.0,4.0
414,11.0,7.0,12.0,5.0
415,15.0,6.0,19.0,8.0
416,20.0,4.0,20.0,6.0
417,18.0,7.0,23.0,7.0
418,24.0,9.0,27.0,7.0
419,18.0,12.0,22.0,13.0
420,15.0,18.0,25.0,12.0
421,14.0,10.0,19.0,6.0
422,15.0,14.0,24.0,5.0
423,12.0,2.0,17.0,5.0
424,16.0,6.0,16.0,2.0
425,15.0,7.0,16.0,5.0
426,13.0,5.0,20.0,7.0
427,17.0,2.0,20.0,10.0
428,22.0,1.0,23.0,8.0
429,28.0,5.0,23.0,4.0
430,34.0,3.0,31.0,0.0
431,38.0,6.0,33.0,4.0
432,43.0,1.0,40.0,3.0
433,35.0,5.0,27.0,7.0
434,28.0,8.0,22.0,10.0
435,24.0,9.0,16.0,11.0
436,16.0,12.0,13.0,15.0
