step_num,-gneE0,-gneE1,-gneE2,-gneE3
446,19,19,18,19
447,19,20,18,19
448,19,20,19,19
449,19,20,19,19
450,19,20,19,18
451,19,20,18,18
452,20,20,18,19
453,20,20,18,18
454,20,20,18,18
455,20,20,17,18
456,20,20,19,18
457,20,20,19,18
458,19,20,19,18
459,20,20,18,19
460,19,20,18,19
461,19,20,18,19
462,19,20,19,18
463,18,20,19,18
464,18,20,19,18
465,18,20,18,18
466,18,20,18,19
467,18,20,18,19
468,18,21,18,20
469,18,21,19,20
470,18,21,19,20
471,18,21,19,20
472,18,21,19,21
473,18,21,19,21
474,17,21,18,21
475,18,21,18,21
476,19,21,18,21
477,19,20,19,21
478,19,21,19,21
479,19,21,19,21
480,18,21,18,21
481,17,21,18,21
482,18,21,17,22
483,18,21,17,22
484,18,20,17,22
485,18,19,17,22
486,19,19,17,22
487,19,20,17,22
488,19,20,17,22
489,19,20,17,22
490,18,20,17,22
491,19,20,17,22
492,19,20,17,22
493,20,19,17,21
494,20,19,17,21
495,19,19,16,21
496,19,19,16,21
497,19,19,16,20
498,19,19,16,20
499,19,19,16,20
500,19,19,17,20
501,18,19,17,20
502,18,19,17,20
503,18,19,17,21
504,19,20,17,20
505,19,19,18,20
506,19,19,18,20
507,19,19,18,20
508,19,19,19,20
509,19,19,19,20
510,19,21,19,20
511,18,21,18,21
512,19,21,18,21
513,19,21,18,21
514,19,21,18,21
515,18,21,17,21
516,18,21,17,21
517,18,21,16,21
518,17,21,16,22
519,18,21,16,22
520,18,22,16,21
521,18,22,15,21
522,17,22,16,21
523,17,22,16,21
524,17,22,16,22
525,17,21,16,21
526,19,21,16,21
527,19,21,17,21
528,18,21,16,21
529,18,21,16,21
530,18,21,16,21
531,18,21,17,22
532,17,21,17,22
533,19,20,17,21
534,19,20,17,21
535,19,21,17,21
536,19,20,17,20
537,18,20,17,20
538,18,20,16,20
539,18,20,16,20
540,19,20,16,20
541,19,20,16,21
542,18,20,16,21
543,18,20,16,21
544,18,21,16,21
545,17,21,15,21
546,17,21,15,21
547,18,22,15,21
548,18,22,15,22
549,17,22,14,22
550,18,22,14,22
551,18,21,14,21
552,19,21,15,21
553,18,21,15,21
554,18,21,15,21
555,18,21,15,21
556,18,22,15,22
557,17,22,14,22
558,17,22,14,22
559,17,22,14,22
560,17,22,13,22
561,16,23,13,22
562,16,23,13,22
563,16,23,14,21
564,17,22,14,21
565,16,22,13,21
566,16,22,13,21
567,17,22,13,21
568,16,22,12,21
569,16,22,12,21
570,16,22,14,22
571,17,22,14,22
572,17,22,13,22
573,17,22,13,21
574,18,21,13,22
575,18,20,13,22
576,18,20,14,21
577,18,20,14,21
